CBSA Code,CBSA,Year,Quarter,Properties,Units,Occupancy,Annual Rent Growth, Units ,Annual Inventory Growth,Construction vs. Inventory
26420,"Houston, TX",2012,2Q2012,114,"13,630",86.7%,2.4%,"  13,630 ",,8.4%
26420,"Houston, TX",2012,3Q2012,116,"13,773",86.4%,3.7%,"  13,773 ",,7.4%
26420,"Houston, TX",2012,4Q2012,117,"13,881",86.9%,3.1%,"  13,881 ",,8.9%
26420,"Houston, TX",2013,1Q2013,120,"14,136",85.2%,3.9%,"  14,136 ",,8.3%
26420,"Houston, TX",2013,2Q2013,125,"14,456",84.7%,3.6%,"  14,456 ",,10.5%
26420,"Houston, TX",2013,3Q2013,126,"14,565",85.4%,2.9%,"  14,565 ",,11.6%
26420,"Houston, TX",2013,4Q2013,126,"14,564",87.0%,2.7%,"  14,564 ",,12.3%
26420,"Houston, TX",2014,1Q2014,129,"14,822",86.2%,2.2%,"  14,822 ",,12.3%
26420,"Houston, TX",2014,2Q2014,132,"15,033",85.9%,2.1%,"  15,033 ",,12.4%
26420,"Houston, TX",2014,3Q2014,132,"15,074",87.0%,2.2%,"  15,074 ",,14.5%
26420,"Houston, TX",2014,4Q2014,135,"15,540",85.5%,1.5%,"  15,540 ",,11.7%
26420,"Houston, TX",2015,1Q2015,138,"15,953",84.3%,1.9%,"  15,953 ",,12.0%
26420,"Houston, TX",2015,2Q2015,140,"16,196",84.2%,1.4%,"  16,196 ",,12.1%
26420,"Houston, TX",2015,3Q2015,142,"16,409",85.1%,1.7%,"  16,409 ",,12.0%
26420,"Houston, TX",2015,4Q2015,144,"16,651",85.3%,2.0%,"  16,651 ",,11.5%
26420,"Houston, TX",2016,1Q2016,145,"16,837",85.9%,1.4%,"  16,837 ",,12.1%
26420,"Houston, TX",2016,2Q2016,146,"17,020",85.2%,1.8%,"  17,020 ",,13.2%
26420,"Houston, TX",2016,3Q2016,149,"17,473",83.7%,1.9%,"  17,473 ",,11.2%
26420,"Houston, TX",2016,4Q2016,149,"17,552",84.8%,2.8%,"  17,552 ",,11.4%
26420,"Houston, TX",2017,1Q2017,152,"17,933",84.1%,3.4%,"  17,933 ",,9.5%
26420,"Houston, TX",2017,2Q2017,154,"18,208",83.2%,2.8%,"  18,208 ",,8.7%
26420,"Houston, TX",2017,3Q2017,153,"17,988",83.4%,1.2%,"  17,988 ",,11.1%
26420,"Houston, TX",2017,4Q2017,156,"18,532",84.0%,2.2%,"  18,532 ",,8.3%
26420,"Houston, TX",2018,1Q2018,159,"18,993",81.8%,1.1%,"  18,993 ",,6.6%
26420,"Houston, TX",2018,2Q2018,160,"19,176",81.7%,1.8%,"  19,176 ",,7.3%
26420,"Houston, TX",2018,3Q2018,162,"19,482",81.3%,4.4%,"  19,482 ",,9.2%
26420,"Houston, TX",2018,4Q2018,163,"19,656",80.5%,4.2%,"  19,656 ",,9.2%
26420,"Houston, TX",2019,1Q2019,165,"19,776",81.1%,4.4%,"  19,776 ",,10.6%
26420,"Houston, TX",2019,2Q2019,166,"19,983",81.1%,3.3%,"  19,983 ",,9.4%
26420,"Houston, TX",2019,3Q2019,166,"20,116",81.5%,2.4%,"  20,116 ",,12.3%
28140,"Kansas City, MO",2005,4Q2005,66,"8,796",87.6%,,"  8,796 ",,2.4%
28140,"Kansas City, MO",2006,1Q2006,67,"8,878",87.4%,,"  8,878 ",,4.9%
28140,"Kansas City, MO",2006,2Q2006,67,"8,878",89.2%,,"  8,878 ",,4.4%
28140,"Kansas City, MO",2006,3Q2006,67,"8,878",90.4%,,"  8,878 ",,4.7%
28140,"Kansas City, MO",2006,4Q2006,69,"9,020",89.0%,3.2%,"  9,020 ",,8.9%
28140,"Kansas City, MO",2007,1Q2007,69,"9,020",89.0%,4.4%,"  9,020 ",,10.7%
28140,"Kansas City, MO",2007,2Q2007,69,"9,011",88.7%,4.2%,"  9,011 ",,12.0%
28140,"Kansas City, MO",2007,3Q2007,69,"9,037",88.6%,5.2%,"  9,037 ",,13.0%
28140,"Kansas City, MO",2007,4Q2007,72,"9,809",84.9%,5.3%,"  9,809 ",,5.2%
28140,"Kansas City, MO",2008,1Q2008,72,"9,857",85.0%,3.9%,"  9,857 ",,4.7%
28140,"Kansas City, MO",2008,2Q2008,72,"9,857",85.8%,4.4%,"  9,857 ",,5.1%
28140,"Kansas City, MO",2008,3Q2008,74,"10,194",83.9%,3.5%,"  10,194 ",,1.6%
28140,"Kansas City, MO",2008,4Q2008,75,"10,323",83.0%,3.8%,"  10,323 ",,0.5%
28140,"Kansas City, MO",2009,1Q2009,75,"10,323",83.2%,4.0%,"  10,323 ",,0.5%
28140,"Kansas City, MO",2009,2Q2009,76,"10,364",83.7%,3.1%,"  10,364 ",,0.3%
28140,"Kansas City, MO",2009,3Q2009,76,"10,370",84.3%,2.6%,"  10,370 ",,0.2%
28140,"Kansas City, MO",2009,4Q2009,76,"10,370",84.8%,1.5%,"  10,370 ",,1.0%
28140,"Kansas City, MO",2010,1Q2010,76,"10,370",84.2%,1.6%,"  10,370 ",,1.6%
28140,"Kansas City, MO",2010,2Q2010,76,"10,417",86.3%,1.2%,"  10,417 ",,1.2%
28140,"Kansas City, MO",2010,3Q2010,76,"10,417",87.9%,0.9%,"  10,417 ",,1.2%
28140,"Kansas City, MO",2010,4Q2010,76,"10,422",87.9%,0.9%,"  10,422 ",,1.1%
28140,"Kansas City, MO",2011,1Q2011,76,"10,433",89.1%,1.1%,"  10,433 ",,1.1%
28140,"Kansas City, MO",2011,2Q2011,77,"10,489",88.9%,2.5%,"  10,489 ",,1.1%
28140,"Kansas City, MO",2011,3Q2011,78,"10,537",89.7%,2.4%,"  10,537 ",,1.2%
28140,"Kansas City, MO",2011,4Q2011,78,"10,551",90.2%,2.4%,"  10,551 ",,2.0%
28140,"Kansas City, MO",2012,1Q2012,78,"10,551",90.5%,2.7%,"  10,551 ",,3.9%
28140,"Kansas City, MO",2012,2Q2012,80,"10,669",89.7%,2.7%,"  10,669 ",,4.3%
28140,"Kansas City, MO",2012,3Q2012,80,"10,698",90.5%,3.2%,"  10,698 ",,4.0%
28140,"Kansas City, MO",2012,4Q2012,81,"10,785",90.7%,3.3%,"  10,785 ",,3.9%
28140,"Kansas City, MO",2013,1Q2013,82,"10,844",91.2%,2.0%,"  10,844 ",,5.3%
28140,"Kansas City, MO",2013,2Q2013,83,"10,887",90.5%,0.9%,"  10,887 ",,4.9%
28140,"Kansas City, MO",2013,3Q2013,84,"10,979",91.0%,-0.2%,"  10,979 ",,4.0%
28140,"Kansas City, MO",2013,4Q2013,84,"10,987",90.8%,-0.4%,"  10,987 ",,5.4%
28140,"Kansas City, MO",2014,1Q2014,86,"11,258",89.1%,1.0%,"  11,258 ",,3.2%
28140,"Kansas City, MO",2014,2Q2014,87,"11,447",89.2%,0.6%,"  11,447 ",,4.7%
28140,"Kansas City, MO",2014,3Q2014,87,"11,468",88.3%,2.0%,"  11,468 ",,7.3%
28140,"Kansas City, MO",2014,4Q2014,87,"11,493",90.1%,2.1%,"  11,493 ",,7.6%
28140,"Kansas City, MO",2015,1Q2015,87,"11,610",90.6%,2.4%,"  11,610 ",,8.4%
28140,"Kansas City, MO",2015,2Q2015,88,"11,681",89.6%,2.8%,"  11,681 ",,8.0%
28140,"Kansas City, MO",2015,3Q2015,92,"12,054",89.0%,3.9%,"  12,054 ",,7.1%
28140,"Kansas City, MO",2015,4Q2015,92,"12,056",90.4%,4.1%,"  12,056 ",,7.8%
28140,"Kansas City, MO",2016,1Q2016,94,"12,216",89.0%,3.3%,"  12,216 ",,7.2%
28140,"Kansas City, MO",2016,2Q2016,95,"12,335",86.8%,3.3%,"  12,335 ",,13.3%
28140,"Kansas City, MO",2016,3Q2016,96,"12,489",87.2%,2.6%,"  12,489 ",,14.3%
28140,"Kansas City, MO",2016,4Q2016,97,"12,600",87.6%,2.1%,"  12,600 ",,13.3%
28140,"Kansas City, MO",2017,1Q2017,98,"12,720",86.8%,0.9%,"  12,720 ",,12.9%
28140,"Kansas City, MO",2017,2Q2017,101,"13,046",84.6%,1.2%,"  13,046 ",,11.1%
28140,"Kansas City, MO",2017,3Q2017,104,"13,409",83.8%,0.1%,"  13,409 ",,9.0%
28140,"Kansas City, MO",2017,4Q2017,106,"13,583",83.7%,-0.1%,"  13,583 ",,9.1%
28140,"Kansas City, MO",2018,1Q2018,107,"13,707",84.1%,1.2%,"  13,707 ",,10.2%
28140,"Kansas City, MO",2018,2Q2018,108,"13,916",83.9%,1.0%,"  13,916 ",,10.2%
28140,"Kansas City, MO",2018,3Q2018,108,"14,037",84.7%,1.5%,"  14,037 ",,10.0%
28140,"Kansas City, MO",2018,4Q2018,109,"14,162",85.2%,2.0%,"  14,162 ",,9.7%
28140,"Kansas City, MO",2019,1Q2019,112,"14,350",84.9%,4.7%,"  14,350 ",,8.1%
28140,"Kansas City, MO",2019,2Q2019,111,"14,442",84.6%,5.9%,"  14,442 ",,6.8%
28140,"Kansas City, MO",2019,3Q2019,111,"14,411",86.5%,6.0%,"  14,411 ",,7.0%
29820,"Las Vegas, NV",2005,4Q2005,26,"3,127",,,"  3,127 ",,2.4%
29820,"Las Vegas, NV",2006,1Q2006,26,"3,127",,,"  3,127 ",,2.4%
29820,"Las Vegas, NV",2006,2Q2006,26,"3,127",,,"  3,127 ",,2.4%
29820,"Las Vegas, NV",2006,3Q2006,27,"3,202",79.1%,,"  3,202 ",,0.0%
29820,"Las Vegas, NV",2006,4Q2006,27,"3,200",79.8%,,"  3,200 ",,0.0%
29820,"Las Vegas, NV",2007,1Q2007,27,"3,200",82.0%,,"  3,200 ",,2.5%
29820,"Las Vegas, NV",2007,2Q2007,27,"3,200",83.7%,,"  3,200 ",,6.6%
29820,"Las Vegas, NV",2007,3Q2007,27,"3,200",81.7%,1.9%,"  3,200 ",,6.6%
29820,"Las Vegas, NV",2007,4Q2007,27,"3,201",84.4%,1.7%,"  3,201 ",,6.6%
29820,"Las Vegas, NV",2008,1Q2008,28,"3,280",83.6%,1.2%,"  3,280 ",,4.0%
29820,"Las Vegas, NV",2008,2Q2008,28,"3,280",82.2%,1.9%,"  3,280 ",,6.7%
29820,"Las Vegas, NV",2008,3Q2008,28,"3,280",82.0%,1.4%,"  3,280 ",,6.7%
29820,"Las Vegas, NV",2008,4Q2008,29,"3,411",78.5%,2.2%,"  3,411 ",,2.6%
29820,"Las Vegas, NV",2009,1Q2009,29,"3,411",78.0%,1.9%,"  3,411 ",,4.3%
29820,"Las Vegas, NV",2009,2Q2009,29,"3,411",77.2%,1.7%,"  3,411 ",,4.3%
29820,"Las Vegas, NV",2009,3Q2009,29,"3,411",77.4%,1.8%,"  3,411 ",,4.3%
29820,"Las Vegas, NV",2009,4Q2009,29,"3,453",78.0%,1.5%,"  3,453 ",,1.7%
29820,"Las Vegas, NV",2010,1Q2010,29,"3,453",78.9%,1.7%,"  3,453 ",,1.7%
29820,"Las Vegas, NV",2010,2Q2010,29,"3,453",81.4%,2.2%,"  3,453 ",,1.7%
29820,"Las Vegas, NV",2010,3Q2010,30,"3,514",79.8%,1.0%,"  3,514 ",,0.0%
29820,"Las Vegas, NV",2010,4Q2010,30,"3,512",81.1%,0.0%,"  3,512 ",,0.0%
29820,"Las Vegas, NV",2011,1Q2011,30,"3,512",82.0%,0.0%,"  3,512 ",,0.0%
29820,"Las Vegas, NV",2011,2Q2011,30,"3,512",84.4%,-1.8%,"  3,512 ",,0.0%
29820,"Las Vegas, NV",2011,3Q2011,30,"3,512",83.9%,-2.0%,"  3,512 ",,0.0%
29820,"Las Vegas, NV",2011,4Q2011,30,"3,512",83.9%,-0.4%,"  3,512 ",,0.0%
29820,"Las Vegas, NV",2012,1Q2012,30,"3,512",84.1%,-0.7%,"  3,512 ",,0.0%
29820,"Las Vegas, NV",2012,2Q2012,29,"3,424",84.3%,1.5%,"  3,424 ",,0.0%
29820,"Las Vegas, NV",2012,3Q2012,29,"3,424",84.2%,3.5%,"  3,424 ",,0.0%
29820,"Las Vegas, NV",2012,4Q2012,29,"3,424",85.6%,1.3%,"  3,424 ",,0.4%
29820,"Las Vegas, NV",2013,1Q2013,29,"3,424",86.3%,2.5%,"  3,424 ",,0.4%
29820,"Las Vegas, NV",2013,2Q2013,29,"3,424",85.4%,1.6%,"  3,424 ",,0.4%
29820,"Las Vegas, NV",2013,3Q2013,29,"3,436",85.2%,1.3%,"  3,436 ",,0.0%
29820,"Las Vegas, NV",2013,4Q2013,29,"3,430",87.5%,2.3%,"  3,430 ",,0.5%
29820,"Las Vegas, NV",2014,1Q2014,29,"3,433",86.6%,1.7%,"  3,433 ",,0.5%
29820,"Las Vegas, NV",2014,2Q2014,29,"3,434",87.6%,0.6%,"  3,434 ",,2.4%
29820,"Las Vegas, NV",2014,3Q2014,29,"3,434",89.7%,0.6%,"  3,434 ",,2.4%
29820,"Las Vegas, NV",2014,4Q2014,29,"3,434",88.8%,-0.5%,"  3,434 ",,2.4%
29820,"Las Vegas, NV",2015,1Q2015,29,"3,440",86.2%,1.2%,"  3,440 ",,5.3%
29820,"Las Vegas, NV",2015,2Q2015,29,"3,505",86.8%,-0.2%,"  3,505 ",,3.3%
29820,"Las Vegas, NV",2015,3Q2015,29,"3,504",87.4%,0.7%,"  3,504 ",,3.3%
29820,"Las Vegas, NV",2015,4Q2015,29,"3,505",87.4%,3.7%,"  3,505 ",,12.5%
29820,"Las Vegas, NV",2016,1Q2016,29,"3,505",86.6%,2.7%,"  3,505 ",,13.2%
29820,"Las Vegas, NV",2016,2Q2016,29,"3,521",86.4%,4.6%,"  3,521 ",,12.7%
29820,"Las Vegas, NV",2016,3Q2016,30,"3,606",85.3%,5.1%,"  3,606 ",,9.7%
29820,"Las Vegas, NV",2016,4Q2016,30,"3,624",84.6%,4.1%,"  3,624 ",,9.6%
29820,"Las Vegas, NV",2017,1Q2017,32,"3,821",81.3%,3.8%,"  3,821 ",,6.1%
29820,"Las Vegas, NV",2017,2Q2017,32,"3,845",80.8%,3.3%,"  3,845 ",,12.5%
29820,"Las Vegas, NV",2017,3Q2017,31,"3,745",82.4%,3.4%,"  3,745 ",,17.1%
29820,"Las Vegas, NV",2017,4Q2017,31,"3,745",82.0%,4.2%,"  3,745 ",,17.1%
29820,"Las Vegas, NV",2018,1Q2018,31,"3,723",82.6%,4.8%,"  3,723 ",,17.2%
29820,"Las Vegas, NV",2018,2Q2018,32,"3,794",81.8%,6.3%,"  3,794 ",,16.6%
29820,"Las Vegas, NV",2018,3Q2018,33,"3,923",83.2%,5.1%,"  3,923 ",,12.8%
29820,"Las Vegas, NV",2018,4Q2018,35,"4,227",80.4%,3.2%,"  4,227 ",,4.7%
29820,"Las Vegas, NV",2019,1Q2019,35,"4,228",81.5%,5.6%,"  4,228 ",,4.7%
29820,"Las Vegas, NV",2019,2Q2019,35,"4,228",82.3%,4.6%,"  4,228 ",,4.7%
29820,"Las Vegas, NV",2019,3Q2019,36,"4,356",82.3%,5.8%,"  4,356 ",,1.6%
31080,"Los Angeles, CA",2005,4Q2005,293,"32,490",89.5%,,"  32,490 ",,1.0%
31080,"Los Angeles, CA",2006,1Q2006,294,"32,565",89.8%,,"  32,565 ",,0.9%
31080,"Los Angeles, CA",2006,2Q2006,295,"32,655",90.4%,,"  32,655 ",,0.9%
31080,"Los Angeles, CA",2006,3Q2006,294,"32,496",90.9%,,"  32,496 ",,1.4%
31080,"Los Angeles, CA",2006,4Q2006,294,"32,537",91.0%,3.4%,"  32,537 ",,1.5%
31080,"Los Angeles, CA",2007,1Q2007,295,"32,598",91.3%,3.5%,"  32,598 ",,1.5%
31080,"Los Angeles, CA",2007,2Q2007,295,"32,531",91.0%,3.3%,"  32,531 ",,1.9%
31080,"Los Angeles, CA",2007,3Q2007,293,"32,401",91.0%,3.3%,"  32,401 ",,1.9%
31080,"Los Angeles, CA",2007,4Q2007,294,"32,493",90.9%,3.7%,"  32,493 ",,2.1%
31080,"Los Angeles, CA",2008,1Q2008,294,"32,765",89.9%,3.8%,"  32,765 ",,2.1%
31080,"Los Angeles, CA",2008,2Q2008,294,"32,769",89.8%,3.2%,"  32,769 ",,2.7%
31080,"Los Angeles, CA",2008,3Q2008,294,"32,797",89.0%,3.4%,"  32,797 ",,2.7%
31080,"Los Angeles, CA",2008,4Q2008,296,"32,960",87.9%,2.9%,"  32,960 ",,2.8%
31080,"Los Angeles, CA",2009,1Q2009,297,"33,027",87.2%,2.4%,"  33,027 ",,2.8%
31080,"Los Angeles, CA",2009,2Q2009,297,"33,054",87.3%,2.3%,"  33,054 ",,2.7%
31080,"Los Angeles, CA",2009,3Q2009,298,"33,211",87.7%,1.8%,"  33,211 ",,2.6%
31080,"Los Angeles, CA",2009,4Q2009,298,"33,362",86.8%,1.3%,"  33,362 ",,2.2%
31080,"Los Angeles, CA",2010,1Q2010,300,"33,740",85.4%,1.0%,"  33,740 ",,1.2%
31080,"Los Angeles, CA",2010,2Q2010,301,"33,859",85.0%,0.7%,"  33,859 ",,0.8%
31080,"Los Angeles, CA",2010,3Q2010,301,"33,857",85.2%,0.2%,"  33,857 ",,1.0%
31080,"Los Angeles, CA",2010,4Q2010,301,"33,791",85.5%,-0.1%,"  33,791 ",,0.8%
31080,"Los Angeles, CA",2011,1Q2011,303,"33,922",85.8%,0.8%,"  33,922 ",,0.5%
31080,"Los Angeles, CA",2011,2Q2011,301,"33,680",86.4%,1.3%,"  33,680 ",,0.4%
31080,"Los Angeles, CA",2011,3Q2011,300,"33,671",86.9%,1.6%,"  33,671 ",,0.2%
31080,"Los Angeles, CA",2011,4Q2011,300,"33,672",86.9%,2.0%,"  33,672 ",,0.2%
31080,"Los Angeles, CA",2012,1Q2012,301,"33,751",86.6%,1.1%,"  33,751 ",,0.6%
31080,"Los Angeles, CA",2012,2Q2012,301,"33,729",87.6%,1.4%,"  33,729 ",,1.4%
31080,"Los Angeles, CA",2012,3Q2012,300,"33,664",88.0%,2.0%,"  33,664 ",,1.3%
31080,"Los Angeles, CA",2012,4Q2012,301,"33,755",87.9%,1.7%,"  33,755 ",,1.9%
31080,"Los Angeles, CA",2013,1Q2013,301,"33,750",88.6%,2.2%,"  33,750 ",,1.9%
31080,"Los Angeles, CA",2013,2Q2013,302,"33,899",88.5%,2.4%,"  33,899 ",,1.5%
31080,"Los Angeles, CA",2013,3Q2013,302,"33,905",88.8%,2.2%,"  33,905 ",,2.4%
31080,"Los Angeles, CA",2013,4Q2013,302,"34,109",89.1%,2.4%,"  34,109 ",,2.1%
31080,"Los Angeles, CA",2014,1Q2014,304,"34,218",89.7%,2.6%,"  34,218 ",,1.8%
31080,"Los Angeles, CA",2014,2Q2014,305,"34,333",90.0%,3.2%,"  34,333 ",,1.6%
31080,"Los Angeles, CA",2014,3Q2014,305,"34,277",90.4%,3.3%,"  34,277 ",,2.4%
31080,"Los Angeles, CA",2014,4Q2014,304,"34,256",90.5%,3.2%,"  34,256 ",,2.7%
31080,"Los Angeles, CA",2015,1Q2015,307,"34,507",90.0%,3.1%,"  34,507 ",,2.2%
31080,"Los Angeles, CA",2015,2Q2015,306,"34,333",90.8%,2.7%,"  34,333 ",,2.7%
31080,"Los Angeles, CA",2015,3Q2015,305,"34,274",90.9%,2.5%,"  34,274 ",,2.7%
31080,"Los Angeles, CA",2015,4Q2015,306,"34,501",91.1%,3.1%,"  34,501 ",,2.4%
31080,"Los Angeles, CA",2016,1Q2016,308,"34,659",90.9%,3.0%,"  34,659 ",,1.9%
31080,"Los Angeles, CA",2016,2Q2016,306,"34,546",91.4%,2.6%,"  34,546 ",,2.3%
31080,"Los Angeles, CA",2016,3Q2016,306,"34,632",91.4%,3.9%,"  34,632 ",,3.8%
31080,"Los Angeles, CA",2016,4Q2016,305,"34,629",91.2%,3.9%,"  34,629 ",,4.0%
31080,"Los Angeles, CA",2017,1Q2017,305,"34,627",91.2%,4.5%,"  34,627 ",,4.2%
31080,"Los Angeles, CA",2017,2Q2017,304,"34,570",90.8%,5.0%,"  34,570 ",,4.2%
31080,"Los Angeles, CA",2017,3Q2017,305,"34,624",90.9%,5.3%,"  34,624 ",,4.4%
31080,"Los Angeles, CA",2017,4Q2017,304,"34,529",90.7%,4.7%,"  34,529 ",,4.8%
31080,"Los Angeles, CA",2018,1Q2018,305,"34,503",90.5%,4.6%,"  34,503 ",,4.8%
31080,"Los Angeles, CA",2018,2Q2018,306,"34,609",90.1%,5.3%,"  34,609 ",,5.2%
31080,"Los Angeles, CA",2018,3Q2018,305,"34,658",89.4%,3.9%,"  34,658 ",,5.1%
31080,"Los Angeles, CA",2018,4Q2018,306,"34,765",89.7%,3.8%,"  34,765 ",,5.7%
31080,"Los Angeles, CA",2019,1Q2019,306,"34,807",89.3%,4.3%,"  34,807 ",,6.7%
31080,"Los Angeles, CA",2019,2Q2019,308,"35,478",87.9%,3.5%,"  35,478 ",,4.9%
31080,"Los Angeles, CA",2019,3Q2019,310,"35,606",88.8%,2.9%,"  35,606 ",,5.8%
33100,"Miami, FL",2005,4Q2005,142,"21,269",90.9%,,"  21,269 ",,0.6%
33100,"Miami, FL",2006,1Q2006,142,"21,269",90.9%,,"  21,269 ",,1.0%
33100,"Miami, FL",2006,2Q2006,142,"21,271",90.8%,,"  21,271 ",,1.0%
33100,"Miami, FL",2006,3Q2006,142,"21,271",91.2%,,"  21,271 ",,1.0%
33100,"Miami, FL",2006,4Q2006,141,"21,249",90.7%,2.5%,"  21,249 ",,1.0%
33100,"Miami, FL",2007,1Q2007,140,"21,220",90.5%,2.9%,"  21,220 ",,1.0%
33100,"Miami, FL",2007,2Q2007,140,"21,290",89.5%,3.1%,"  21,290 ",,0.6%
33100,"Miami, FL",2007,3Q2007,140,"21,288",89.7%,2.0%,"  21,288 ",,0.7%
33100,"Miami, FL",2007,4Q2007,141,"21,415",90.0%,3.2%,"  21,415 ",,0.1%
33100,"Miami, FL",2008,1Q2008,141,"21,423",89.6%,2.3%,"  21,423 ",,0.1%
33100,"Miami, FL",2008,2Q2008,139,"21,310",88.7%,2.2%,"  21,310 ",,0.7%
33100,"Miami, FL",2008,3Q2008,139,"21,308",88.1%,2.1%,"  21,308 ",,0.9%
33100,"Miami, FL",2008,4Q2008,139,"21,310",87.7%,2.3%,"  21,310 ",,0.9%
33100,"Miami, FL",2009,1Q2009,139,"21,305",87.6%,1.6%,"  21,305 ",,1.2%
33100,"Miami, FL",2009,2Q2009,140,"21,435",86.4%,1.5%,"  21,435 ",,0.6%
33100,"Miami, FL",2009,3Q2009,139,"21,443",86.2%,1.7%,"  21,443 ",,0.5%
33100,"Miami, FL",2009,4Q2009,140,"21,490",85.8%,1.5%,"  21,490 ",,0.3%
33100,"Miami, FL",2010,1Q2010,141,"21,535",86.4%,0.8%,"  21,535 ",,0.0%
33100,"Miami, FL",2010,2Q2010,140,"21,512",86.1%,0.9%,"  21,512 ",,0.0%
33100,"Miami, FL",2010,3Q2010,140,"21,511",85.9%,0.3%,"  21,511 ",,1.2%
33100,"Miami, FL",2010,4Q2010,140,"21,505",86.5%,-0.5%,"  21,505 ",,1.3%
33100,"Miami, FL",2011,1Q2011,140,"21,505",86.5%,0.4%,"  21,505 ",,1.2%
33100,"Miami, FL",2011,2Q2011,140,"21,512",86.5%,0.2%,"  21,512 ",,1.9%
33100,"Miami, FL",2011,3Q2011,139,"21,341",86.5%,0.6%,"  21,341 ",,1.8%
33100,"Miami, FL",2011,4Q2011,139,"21,340",86.4%,1.6%,"  21,340 ",,1.9%
33100,"Miami, FL",2012,1Q2012,139,"21,339",87.2%,0.7%,"  21,339 ",,1.9%
33100,"Miami, FL",2012,2Q2012,138,"21,259",86.6%,1.3%,"  21,259 ",,2.0%
33100,"Miami, FL",2012,3Q2012,139,"21,404",86.2%,1.0%,"  21,404 ",,1.3%
33100,"Miami, FL",2012,4Q2012,139,"21,401",87.2%,0.8%,"  21,401 ",,1.3%
33100,"Miami, FL",2013,1Q2013,139,"21,420",87.4%,1.3%,"  21,420 ",,1.7%
33100,"Miami, FL",2013,2Q2013,140,"21,663",86.8%,1.1%,"  21,663 ",,1.0%
33100,"Miami, FL",2013,3Q2013,139,"21,540",87.2%,1.5%,"  21,540 ",,1.7%
33100,"Miami, FL",2013,4Q2013,139,"21,542",87.2%,1.3%,"  21,542 ",,1.8%
33100,"Miami, FL",2014,1Q2014,139,"21,540",87.6%,1.9%,"  21,540 ",,3.5%
33100,"Miami, FL",2014,2Q2014,139,"21,650",87.7%,2.7%,"  21,650 ",,4.0%
33100,"Miami, FL",2014,3Q2014,137,"21,605",88.3%,2.7%,"  21,605 ",,4.0%
33100,"Miami, FL",2014,4Q2014,138,"21,706",88.5%,2.6%,"  21,706 ",,4.4%
33100,"Miami, FL",2015,1Q2015,140,"21,821",88.1%,3.5%,"  21,821 ",,6.2%
33100,"Miami, FL",2015,2Q2015,141,"21,966",86.7%,3.3%,"  21,966 ",,7.6%
33100,"Miami, FL",2015,3Q2015,141,"21,981",87.1%,3.4%,"  21,981 ",,9.5%
33100,"Miami, FL",2015,4Q2015,141,"21,969",87.5%,3.5%,"  21,969 ",,10.1%
33100,"Miami, FL",2016,1Q2016,142,"22,378",86.6%,3.9%,"  22,378 ",,7.4%
33100,"Miami, FL",2016,2Q2016,143,"22,435",87.4%,2.9%,"  22,435 ",,6.5%
33100,"Miami, FL",2016,3Q2016,144,"22,555",87.5%,3.2%,"  22,555 ",,6.5%
33100,"Miami, FL",2016,4Q2016,146,"23,087",87.3%,4.4%,"  23,087 ",,5.7%
33100,"Miami, FL",2017,1Q2017,147,"22,978",87.5%,2.5%,"  22,978 ",,5.3%
33100,"Miami, FL",2017,2Q2017,146,"22,831",88.2%,3.3%,"  22,831 ",,6.5%
33100,"Miami, FL",2017,3Q2017,147,"22,979",88.1%,2.8%,"  22,979 ",,6.2%
33100,"Miami, FL",2017,4Q2017,146,"23,050",88.2%,0.9%,"  23,050 ",,5.8%
33100,"Miami, FL",2018,1Q2018,146,"23,228",87.6%,2.1%,"  23,228 ",,5.9%
33100,"Miami, FL",2018,2Q2018,146,"23,222",86.9%,2.1%,"  23,222 ",,8.2%
33100,"Miami, FL",2018,3Q2018,146,"23,407",86.5%,2.9%,"  23,407 ",,8.4%
33100,"Miami, FL",2018,4Q2018,150,"24,019",85.5%,3.2%,"  24,019 ",,6.3%
33100,"Miami, FL",2019,1Q2019,149,"23,962",86.8%,2.2%,"  23,962 ",,6.7%
33100,"Miami, FL",2019,2Q2019,150,"24,110",86.1%,1.7%,"  24,110 ",,7.3%
33100,"Miami, FL",2019,3Q2019,150,"24,097",86.6%,1.5%,"  24,097 ",,7.3%
33460,"Minneapolis, MN",2005,4Q2005,132,"15,982",93.4%,,"  15,982 ",,3.9%
33460,"Minneapolis, MN",2006,1Q2006,133,"16,295",94.1%,,"  16,295 ",,3.2%
33460,"Minneapolis, MN",2006,2Q2006,134,"16,330",93.8%,,"  16,330 ",,5.2%
33460,"Minneapolis, MN",2006,3Q2006,136,"16,500",93.7%,,"  16,500 ",,5.3%
33460,"Minneapolis, MN",2006,4Q2006,137,"16,536",94.5%,1.6%,"  16,536 ",,5.6%
33460,"Minneapolis, MN",2007,1Q2007,138,"16,691",94.4%,1.7%,"  16,691 ",,4.6%
33460,"Minneapolis, MN",2007,2Q2007,139,"16,717",93.8%,2.2%,"  16,717 ",,4.7%
33460,"Minneapolis, MN",2007,3Q2007,142,"17,194",91.7%,3.1%,"  17,194 ",,2.6%
33460,"Minneapolis, MN",2007,4Q2007,143,"17,238",92.5%,3.1%,"  17,238 ",,3.1%
33460,"Minneapolis, MN",2008,1Q2008,146,"17,502",92.1%,3.2%,"  17,502 ",,2.4%
33460,"Minneapolis, MN",2008,2Q2008,147,"17,529",93.1%,2.6%,"  17,529 ",,2.3%
